primaryID	secondaryID
CHEBI:5981	CHEBI:325864
CHEBI:6116	CHEBI:66141
CHEBI:6121	CHEBI:138833
CHEBI:6263	CHEBI:21353
CHEBI:6332	CHEBI:136295
CHEBI:6339	CHEBI:106706
CHEBI:6359	CHEBI:302765
CHEBI:6443	CHEBI:94795
CHEBI:6443	CHEBI:44593
CHEBI:6538	CHEBI:94763
CHEBI:6570	CHEBI:132397
CHEBI:6631	CHEBI:46156
CHEBI:6698	CHEBI:43819
CHEBI:6698	CHEBI:65005
CHEBI:6716	CHEBI:145457
CHEBI:6757	CHEBI:91914
CHEBI:6758	CHEBI:165567
CHEBI:6759	CHEBI:247981
CHEBI:6780	CHEBI:248004
CHEBI:6802	CHEBI:90684
CHEBI:6897	CHEBI:355221
CHEBI:6909	CHEBI:39845
CHEBI:6909	CHEBI:63636
CHEBI:6916	CHEBI:115958
CHEBI:6942	CHEBI:49774
CHEBI:6997	CHEBI:239866
CHEBI:7025	CHEBI:44038
CHEBI:7061	CHEBI:31878
CHEBI:7071	CHEBI:21448
CHEBI:7438	CHEBI:105684
CHEBI:7447	CHEBI:44256
CHEBI:7476	CHEBI:603695
CHEBI:7489	CHEBI:46591
CHEBI:7489	CHEBI:481318
CHEBI:7508	CHEBI:44577
CHEBI:7553	CHEBI:92630
CHEBI:7569	CHEBI:530451
CHEBI:7622	CHEBI:66635
CHEBI:7627	CHEBI:44349
CHEBI:7638	CHEBI:65481
CHEBI:7747	CHEBI:68987
CHEBI:7789	CHEBI:177779
CHEBI:7798	CHEBI:42582
CHEBI:7896	CHEBI:231736
CHEBI:7907	CHEBI:406486
CHEBI:7934	CHEBI:44703
CHEBI:7947	CHEBI:589537
CHEBI:7956	CHEBI:44870
CHEBI:7959	CHEBI:469179
CHEBI:7963	CHEBI:326400
CHEBI:7983	CHEBI:102327
CHEBI:7989	CHEBI:43324
CHEBI:8029	CHEBI:46657
CHEBI:8048	CHEBI:66743
CHEBI:8069	CHEBI:102217
CHEBI:8107	CHEBI:100921
CHEBI:8232	CHEBI:475140
CHEBI:8232	CHEBI:505944
CHEBI:8232	CHEBI:472443
CHEBI:8404	CHEBI:308749
CHEBI:8405	CHEBI:110389
CHEBI:8435	CHEBI:59073
CHEBI:8452	CHEBI:45272
CHEBI:8452	CHEBI:44910
CHEBI:8489	CHEBI:658576
CHEBI:8653	CHEBI:137500
CHEBI:8691	CHEBI:66283
CHEBI:8772	CHEBI:45355
CHEBI:8802	CHEBI:211871
CHEBI:8881	CHEBI:66307
CHEBI:8884	CHEBI:340257
CHEBI:8890	CHEBI:718203
CHEBI:8927	CHEBI:42826
CHEBI:9023	CHEBI:244416
CHEBI:9096	CHEBI:26636
CHEBI:9110	CHEBI:66468
CHEBI:9118	CHEBI:80299
CHEBI:9139	CHEBI:46436
CHEBI:9139	CHEBI:600437
CHEBI:9150	CHEBI:45577
CHEBI:9168	CHEBI:45276
CHEBI:9168	CHEBI:67812
CHEBI:9190	CHEBI:95154
CHEBI:9200	CHEBI:45464
CHEBI:9215	CHEBI:45551
CHEBI:9241	CHEBI:45692
CHEBI:9242	CHEBI:546779
CHEBI:9287	CHEBI:108632
CHEBI:9332	CHEBI:102247
CHEBI:9334	CHEBI:101223
CHEBI:9362	CHEBI:193117
CHEBI:9368	CHEBI:66536
CHEBI:9407	CHEBI:57802
CHEBI:9421	CHEBI:45973
CHEBI:9442	CHEBI:68052
CHEBI:9468	CHEBI:132027
CHEBI:9516	CHEBI:45970
CHEBI:9516	CHEBI:363811
CHEBI:9578	CHEBI:172928
CHEBI:9599	CHEBI:108531
CHEBI:9599	CHEBI:108311
CHEBI:9605	CHEBI:40602
CHEBI:9611	CHEBI:106722
CHEBI:9671	CHEBI:93604
CHEBI:9678	CHEBI:39705
CHEBI:9688	CHEBI:552470
